Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
3483;5335;Tour de Bretagne;Tour de Bretagne;Culture;Monument;;Place de Bretagne;Nantes;44000;;https://metropole.nantes.fr/actualites/2020/culture-loisirs-patrimoine/tour-bretagne-fermeture;Non;;https://metropole.nantes.fr/infonantes/equipement/E5335;"{""coordinates"": [-1.558167591356814, 47.217582918484375], ""type"": ""Point""}"
3543;3404;E. de Musique;Ecole Boscéenne de Musique et de Danse;Culture;Ecole Culturelle;;Rue du Stade;Bouaye;44830;02 51 70 52 70;https://ebmd.webnode.fr/;Non;;;"{""coordinates"": [-1.6963011494026592, 47.14876201509106], ""type"": ""Point""}"
3549;5361;Centre Culturel Franco-Italien;Centre Culturel Franco-Italien (CCFI);Culture;Salle de spectacle;;90 Boulevard de la Prairie au Duc;Nantes;44200;02 40 35 83 20;http://www.centreculturelfrancoitalien.org/;Non;;;"{""coordinates"": [-1.5683962709996977, 47.20402696611124], ""type"": ""Point""}"
3600;3069;Bibliothèque;Bibliothèque pour Tous;Culture;Médiathèque;Bibliothèque;96 Boulevard Robert Schuman;Nantes;44300;02 40 76 80 90;;Non;;;"{""coordinates"": [-1.570134890664862, 47.238348244442875], ""type"": ""Point""}"
3643;5595;Salle de la Cour carrée;Salle de la Cour carrée - Espace de la Tour à Plomb (ETAP);Culture;Salle d'exposition;;93 Quai Jean-Pierre Fougerat;Couëron;44220;;;Non;;;"{""coordinates"": [-1.720691975322975, 47.209188985646726], ""type"": ""Point""}"
1055;1332;Studio Théâtre;Studio Théâtre;Culture;Salle de spectacle;;5 Rue du Ballet;Nantes;44000;02 51 86 13 06;https://www.nouveaustudiotheatre.com/;Non;;https://metropole.nantes.fr/infonantes/equipement/E1332;"{""coordinates"": [-1.5579272609239105, 47.231061194662026], ""type"": ""Point""}"
1067;1245;Cinéma Le Cinématographe;Cinéma Le Cinématographe;Culture;Cinéma;;12B Rue des Carmélites;Nantes;44000;02 40 47 94 80;https://www.lecinematographe.com/;Non;;https://metropole.nantes.fr/infonantes/equipement/E1245;"{""coordinates"": [-1.5514713443314916, 47.21690750914752], ""type"": ""Point""}"
1301;2746;Médiathèque;Médiathèque Jardin des Livres;Culture;Médiathèque;Médiathèque;6 Rue de Nantes;Saint-Léger-les-Vignes;44710;;https://mediatheque.mairie-saintlegerlesvignes.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2746;"{""coordinates"": [-1.7302720271242737, 47.135964049678996], ""type"": ""Point""}"
1314;133;Musée de l'Imprimerie;Musée de l'Imprimerie;Culture;Musée, Château;Musée;24 Quai de la Fosse;Nantes;44000;02 40 73 26 55;http://musee-imprimerie.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E133;"{""coordinates"": [-1.5621463521924168, 47.21093576513089], ""type"": ""Point""}"
1429;5116;Grae d'Anjou;Gare d'Anjou;Culture;Salle d'exposition;;5 Rue Jean Macé;Saint-Sébastien-sur-Loire;44230;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E5116;"{""coordinates"": [-1.505641520079805, 47.20593191508319], ""type"": ""Point""}"
1506;3480;Espace Cult. Chai Gallais;Espace Culturel Chai Gallais;Culture;Salle de spectacle;;2 Rue de la Haute Galerie;Saint-Léger-les-Vignes;44710;02 40 04 88 81;;Non;;https://metropole.nantes.fr/infonantes/equipement/E3480;"{""coordinates"": [-1.7213183831085286, 47.136676898508], ""type"": ""Point""}"
2072;2550;Salle culturelle Le Vallon;Salle culturelle Le Vallon;Culture;Salle de spectacle;;1 Avenue de Bretagne;Mauves-sur-Loire;44470;02 40 25 59 38;;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2550;"{""coordinates"": [-1.396266727258551, 47.299389386160364], ""type"": ""Point""}"
2111;3086;Salle Pré Poulain;Salle du Pré Poulain;Culture;Salle de spectacle;;111 Rue de Beaulieu;Thouaré-sur-Loire;44470;02 40 68 09 70;http://www.thouare.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E3086;"{""coordinates"": [-1.446089840402871, 47.27286816345778], ""type"": ""Point""}"
2152;1446;C.I.D.;Centre Interculturel de Documentation;Culture;Médiathèque;Bibliothèque;2B Boulevard Léon Bureau;Nantes;44200;02 40 47 88 36;;Non;;https://metropole.nantes.fr/infonantes/equipement/E1446;"{""coordinates"": [-1.5653370537144577, 47.2059712758241], ""type"": ""Point""}"
2288;1120;Musée Maillé Brézé;Musée Naval Maillé Brézé;Culture;Musée, Château;Musée;Quai de la Fosse;Nantes;44100;;http://www.maillebreze.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E1120;"{""coordinates"": [-1.5711452092204774, 47.20712083847305], ""type"": ""Point""}"
2377;2384;Ecluse de la Martinière;Ecluse de la Martinière;Culture;Monument;;Allée de l'Ecluse;Le Pellerin;44640;02 40 04 65 21;http://www.ville-lepellerin.fr/18---le-canal-de-la-martiniere,-le-pont-ecluse,-les-sabordages-dans-le-sas-et-dans-la-machinerie;Non;;https://metropole.nantes.fr/infonantes/equipement/E2384;"{""coordinates"": [-1.78563401246337, 47.20757114819711], ""type"": ""Point""}"
2524;3229;Médiathèque Gautier-Hermeland;Médiathèque Charles Gautier-Hermeland;Culture;Médiathèque;Médiathèque;Rue François Rabelais;Saint-Herblain;44800;02 28 25 25 25;http://www.la-bibliotheque.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3229;"{""coordinates"": [-1.6164229892333772, 47.23103562211845], ""type"": ""Point""}"
2897;3303;Centre B. Marcet;Centre Baptiste Marcet;Culture;Salle de spectacle;;Rue Célestin Freinet;Bouguenais;44340;;;Non;;;"{""coordinates"": [-1.588395735497414, 47.18133165494616], ""type"": ""Point""}"
3086;3266;Théâtre Municipal de Rezé;Théâtre Municipal de Rezé;Culture;Salle de spectacle;;Rue Guy Le Lan;Rezé;44400;02 51 70 78 27;;Oui;Places réservées pour fauteuils roulants dans la salle - Places de parking réservées à proximité;https://metropole.nantes.fr/infonantes/equipement/E3266;"{""coordinates"": [-1.545330470632403, 47.18660583956226], ""type"": ""Point""}"
3164;4459;Château de la Seilleraye;Château de la Seilleraye;Culture;Musée, Château;Château;Chemin de Gaubert;Carquefou;44470;;;Non;;;"{""coordinates"": [-1.4205276023482611, 47.299525346863334], ""type"": ""Point""}"
3239;4597;Le Carrousel;Le Carrousel des Mondes Marins - Les Machines de l'Ile;Culture;Monument;;Boulevard Léon Bureau;Nantes;44200;;https://www.lesmachines-nantes.fr/decouvrir/le-carrousel-des-mondes-marins/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E4597;"{""coordinates"": [-1.567781978332998, 47.205899731260175], ""type"": ""Point""}"
3338;3160;Capellia;Espace Culturel Capellia;Culture;Salle de spectacle;;Chemin de Roche Blanche;La Chapelle-sur-Erdre;44240;02 40 72 09 01;http://www.capellia.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3160;"{""coordinates"": [-1.5579643099490432, 47.27925959306492], ""type"": ""Point""}"
3371;3349;E. de Musique;Ecole de Musique muncipale;Culture;Ecole Culturelle;;Allée des Renaudières;Carquefou;44470;02 28 22 24 10;https://www.carquefou.fr/listes/ecole-municipale-de-musique/;Non;;;"{""coordinates"": [-1.5134066850078693, 47.30047790021904], ""type"": ""Point""}"
3394;4243;La Chaussée des Moines;La Chaussée des Moines;Culture;Monument;;Quai de la Chaussée des Moines;Vertou;44120;;https://metropole.nantes.fr/actualites/2021/environnement-nature/chaussee-des-moines-poissons;Oui;;;"{""coordinates"": [-1.4811394638131365, 47.16720295778415], ""type"": ""Point""}"
3451;2215;Château de La Gournerie;Château de La Gournerie;Culture;Musée, Château;Château;Allée du Château;Saint-Herblain;44800;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2215;"{""coordinates"": [-1.6377065610789043, 47.24596049976095], ""type"": ""Point""}"
