Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
393;3347;Ludothèque La Fontaine;Ludothèque La Fontaine;Culture;Médiathèque;Ludothèque;11 Rue du Languedoc;Saint-Sébastien-sur-Loire;44230;02 40 34 34 14;http://www.saintseb.fr/la-fontaine/ludotheque;Non;;https://metropole.nantes.fr/infonantes/equipement/E3347;"{""coordinates"": [-1.4879436494491605, 47.20383941852366], ""type"": ""Point""}"
568;4329;Château Gobinière;Château de la Gobinière;Culture;Salle d'exposition;;37 Avenue de la Ferrière;Orvault;44700;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4329;"{""coordinates"": [-1.5846508491890703, 47.249213325965286], ""type"": ""Point""}"
706;2123;Bibliothèque;Maison des Arts - Bibliothèque;Culture;Médiathèque;Bibliothèque;26 Rue de Saint Nazaire;Saint-Herblain;44800;02 28 25 25 52;http://www.la-bibliotheque.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E2123;"{""coordinates"": [-1.615071766338132, 47.21205845274104], ""type"": ""Point""}"
737;2738;Médiathèque Diderot;Médiathèque Espace Diderot;Culture;Médiathèque;Médiathèque;1 Place Lucien Le Meut;Rezé;44400;02 40 04 05 37;http://bibliotheque.reze.fr;Oui;Toilettes non adaptées;https://metropole.nantes.fr/infonantes/equipement/E2738;"{""coordinates"": [-1.5625609234252607, 47.18386717274109], ""type"": ""Point""}"
786;2727;Médiathèque;Médiathèque Hélène Carrère d'Encausse;Culture;Médiathèque;Médiathèque;22 Rue André Maurois;Carquefou;44470;02 28 22 24 00;http://www.mediatheque-carquefou.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E2727;"{""coordinates"": [-1.4909459974471224, 47.29561421664049], ""type"": ""Point""}"
974;3325;EMD;Ecole de Musique et de Danse;Culture;Ecole Culturelle;;1 Rue Henri Charpentier;Vertou;44120;02 40 03 45 05;http://www.emd-vertou.fr/;Non;;;"{""coordinates"": [-1.4724806042520324, 47.16868796909886], ""type"": ""Point""}"
3011;4191;Chateau de la Guerche;Chateau de la Guerche;Culture;Monument;;Rue de la Guerche;Brains;44830;;;Non;;;"{""coordinates"": [-1.7301775686941305, 47.168116436693666], ""type"": ""Point""}"
3238;3992;Les Nefs;Les Nefs des Machines de l'Île;Culture;Salle de spectacle;;Boulevard Léon Bureau;Nantes;44200;08 10 12 12 25;http://www.lesmachines-nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E3992;"{""coordinates"": [-1.5645019712962163, 47.206146628842596], ""type"": ""Point""}"
3274;2582;M. de la Musique Sinfonia;Maison de la Musique Sinfonia;Culture;Ecole Culturelle;;Allée des Arts;Sainte-Luce-sur-Loire;44980;02 40 25 90 92;http://www.em-sl.fr/;Non;;;"{""coordinates"": [-1.4845516996464088, 47.247047453856055], ""type"": ""Point""}"
3357;2531;Cinéma Le Montagnard;Cinéma Le Montagnard;Culture;Cinéma;;Place Similien Guérin;La Montagne;44620;02 40 65 70 02;https://fr-fr.facebook.com/CinemaLeMontagnard;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2531;"{""coordinates"": [-1.6829551613451332, 47.188110620896005], ""type"": ""Point""}"
3404;3483;Château du Chassay;Château du Chassay;Culture;Musée, Château;Château;Esplanade Pierre Brasselet;Sainte-Luce-sur-Loire;44980;;https://www.sainte-luce-loire.com/histoire/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3483;"{""coordinates"": [-1.483574224664788, 47.247902203065614], ""type"": ""Point""}"
3472;4475;Château de Praud;Château de Praud;Culture;Musée, Château;Château;Rue Konrad Adenauer;Rezé;44400;;;Non;;;"{""coordinates"": [-1.548181235668864, 47.168393414532716], ""type"": ""Point""}"
3547;1792;Centre Culturel  Européen;Centre Culturel  Européen;Culture;Salle de spectacle;;90 Boulevard de la Prairie au Duc;Nantes;44200;02 40 35 39 43;http://www.cce-nantes.eu/;Non;;https://metropole.nantes.fr/infonantes/equipement/E1792;"{""coordinates"": [-1.5684772315379414, 47.20401877720777], ""type"": ""Point""}"
3548;5360;Centre Culturel Franco-Espagnol;Centre Culturel Franco-Espagnol;Culture;Salle de spectacle;;92 Boulevard de la Prairie au Duc;Nantes;44200;02 40 35 83 23;https://ccfrancoespagnol-nantes.org/;Non;;;"{""coordinates"": [-1.5689347930381496, 47.2039730697512], ""type"": ""Point""}"
3576;4006;Bibliothèque de l'ESBANM;Bibliothèque de l'Ecole des Beaux-Arts de Nantes Saint-Nazaire;Culture;Médiathèque;Bibliothèque;2 Allée Frida Kahlo;Nantes;44200;02 55 58 64 90;https://beauxartsnantes.fr/biblioth%C3%A8que-beaux-arts-nantes;Oui;Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E4006;"{""coordinates"": [-1.5614500755743705, 47.206400938400996], ""type"": ""Point""}"
3674;4091;Centre Claude Cahun;Centre Claude Cahun;Culture;Salle d'exposition;;45 Rue de Richebourg;Nantes;44000;09 52 77 23 14;http://www.galerie-confluence.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4091;"{""coordinates"": [-1.5467950080553918, 47.2170136272343], ""type"": ""Point""}"
1577;1959;La Bugallière;Bibliothèque de la Bugallière;Culture;Médiathèque;Bibliothèque;15 Rue du Pont Marchand;Orvault;44700;02 40 63 54 88;http://www.bibliotheques-orvault.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1959;"{""coordinates"": [-1.6323838042749341, 47.26163516356515], ""type"": ""Point""}"
1635;2619;Bibliothèque Sautron;Bibliothèque Sautron;Culture;Médiathèque;Bibliothèque;33 Rue de la Vallée;Sautron;44880;02 40 63 52 21;http://bibliotheque.sautron.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2619;"{""coordinates"": [-1.6732815150011, 47.26461948603315], ""type"": ""Point""}"
2129;4094;Scène Michelet;La Scène Michelet;Culture;Salle de spectacle;;1 Boulevard Henry Orrion;Nantes;44000;06 32 71 31 99;http://www.scenemichelet.com;Non;;;"{""coordinates"": [-1.5568937341033138, 47.232859807635634], ""type"": ""Point""}"
203;148;Porte St Pierre;Porte Saint Pierre;Culture;Monument;;1 Rue de l'Evêché;Nantes;44000;;https://patrimonia.nantes.fr/home/decouvrir/themes-et-quartiers/fouille-porte-saint-pierre.html;Non;;https://metropole.nantes.fr/infonantes/equipement/E148;"{""coordinates"": [-1.5502829723989835, 47.21887765037898], ""type"": ""Point""}"
209;140;Salle Paul Fort;Salle Paul Fort Nantes;Culture;Salle de spectacle;;9 Rue Basse Porte;Nantes;44000;;;Oui;;https://metropole.nantes.fr/infonantes/equipement/E140;"{""coordinates"": [-1.5582783506140678, 47.220884165564605], ""type"": ""Point""}"
223;4096;POL'N;Pôle de compétences culturelles POL'N;Culture;Salle de spectacle;;11 Rue des Olivettes;Nantes;44000;02 51 82 36 71;http://pol-n.org;Non;;https://metropole.nantes.fr/infonantes/equipement/E4096;"{""coordinates"": [-1.5494604168293273, 47.212361862927416], ""type"": ""Point""}"
243;135;Le Grand T;Le Grand T;Culture;Salle de spectacle;;84 Rue Général Buat;Nantes;44000;02 51 88 25 25;http://www.legrandt.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E135;"{""coordinates"": [-1.5406932743685942, 47.23079052857761], ""type"": ""Point""}"
299;5320;Théâtre de Belleville;Théâtre de Belleville;Culture;Salle de spectacle;;19 Rue de Belleville;Nantes;44100;02 40 69 62 20;http://ruedebelleville.net/;Non;;https://metropole.nantes.fr/infonantes/equipement/E5320;"{""coordinates"": [-1.5748624901617956, 47.21165997184219], ""type"": ""Point""}"
467;4840;Médiathèque Muséum;Médiathèque du Muséum d'histoire Naturelle;Culture;Médiathèque;Médiathèque;12 Rue Voltaire;Nantes;44000;02 40 41 55 25;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4840;"{""coordinates"": [-1.5649079214671306, 47.21249048678116], ""type"": ""Point""}"
2567;4893;Fontaine Saint-Denis;Fontaine Saint-Denis;Culture;Monument;;Rue de la Côte Saint Denis;Mauves-sur-Loire;44470;;;Non;;;"{""coordinates"": [-1.3918164837719484, 47.294490064926634], ""type"": ""Point""}"
815;1828;Médiathèque Gao-Xingjian;Médiathèque Gao-Xingjian;Culture;Médiathèque;Médiathèque;17 Avenue de l'Angevinière;Saint-Herblain;44800;02 28 25 25 50;http://www.la-bibliotheque.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E1828;"{""coordinates"": [-1.6099836425031715, 47.24472157922401], ""type"": ""Point""}"
1225;1068;Salles d'Expo. Temple du Goût;Salle d'Expositions Temple du Goût;Culture;Salle d'exposition;;30 Rue Kervégan;Nantes;44000;02 40 47 46 44;;Non;;https://metropole.nantes.fr/infonantes/equipement/E1068;"{""coordinates"": [-1.556689047717672, 47.21245162501728], ""type"": ""Point""}"
1319;771;Ludothèque Perray;Ludothèque Perray;Culture;Médiathèque;Ludothèque;7 Rue Frédéric Mistral;Nantes;44300;02 40 49 74 69;;Non;;;"{""coordinates"": [-1.5125894176677988, 47.24718205063761], ""type"": ""Point""}"
1338;1119;Musée Compagnonique;Musée Compagnonique;Culture;Musée, Château;Musée;14 Rue Claude Guillon Verne;Nantes;44100;02 40 69 30 55;;Non;;https://metropole.nantes.fr/infonantes/equipement/E1119;"{""coordinates"": [-1.5828133666680801, 47.20278288735609], ""type"": ""Point""}"
1368;2732;La Chapelaine;Bibliothèque de la Chapelaine;Culture;Médiathèque;Bibliothèque;6 Rue de Sucé;La Chapelle-sur-Erdre;44240;02 40 72 57 70;http://www.lachapelaine.org/bibliotheque/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2732;"{""coordinates"": [-1.548383821872856, 47.30127619696777], ""type"": ""Point""}"
1402;4403;La Machinerie;La Machinerie;Culture;Monument;;57 Rue du Canal;Le Pellerin;44640;02 40 04 65 21;http://www.ville-lepellerin.fr/la-machinerie;Non;;https://metropole.nantes.fr/infonantes/equipement/E4403;"{""coordinates"": [-1.7838947889186398, 47.20797952992868], ""type"": ""Point""}"
1406;2705;Médiathèque Sorinières;Médiathèque Sorinières;Culture;Médiathèque;Médiathèque;13 Rue des Ecoles;Les Sorinières;44840;02 40 04 48 92;https://bibliotheque.ville-sorinieres.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2705;"{""coordinates"": [-1.5276552137138495, 47.149224787669766], ""type"": ""Point""}"
1683;2717;L'Expression Plurielle;Bibliothèque L'Expression Plurielle;Culture;Médiathèque;Bibliothèque;23 Rue de Mauves;Thouaré-sur-Loire;44470;02 51 85 90 60;https://www.thouare.fr/sortir-se-divertir/bibliotheque/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2717;"{""coordinates"": [-1.4374150129204697, 47.26883983743119], ""type"": ""Point""}"
1762;3159;Cinéma Vaillant;Cinéma Vaillant;Culture;Cinéma;;12 Rue du Général De Gaulle;Vertou;44120;02 40 34 49 10;http://www.cinevaillant.com/;Non;;https://metropole.nantes.fr/infonantes/equipement/E3159;"{""coordinates"": [-1.4696196343280106, 47.16724613571655], ""type"": ""Point""}"
1782;3152;Halle de La Trocardière;Halle de La Trocardière;Culture;Salle de spectacle;;101 Rue de la Trocardière;Rezé;44400;02 51 70 30 40;http://www.nge-nantes.fr/;Non;;;"{""coordinates"": [-1.57240928222333, 47.181488204437194], ""type"": ""Point""}"
1791;3048;Espace P. Beaulieux;Espace Phelippes Beaulieux;Culture;Salle de spectacle;;21 Rue de la Forêt;Sautron;44880;;;Non;;;"{""coordinates"": [-1.6783770722656988, 47.26506853622232], ""type"": ""Point""}"
1914;2724;Médiathèque V. Jara;Médiathèque Victor Jara;Culture;Médiathèque;Médiathèque;95 Quai Jean-Pierre Fougerat;Couëron;44220;02 40 38 38 38;http://mediatheque.ville-coueron.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2724;"{""coordinates"": [-1.7202546098909115, 47.20886436159505], ""type"": ""Point""}"
2040;3162;La Fleuriaye;Espace Culturel et de Congrès de La Fleuriaye;Culture;Salle de spectacle;;Boulevard Ampère;Carquefou;44470;02 28 22 24 24;http://www.theatre-carquefou.fr/;Oui;Les spectateurs en fauteuil roulant sont invités à se faire connaître lors des réservations de places.;https://metropole.nantes.fr/infonantes/equipement/E3162;"{""coordinates"": [-1.501246648678854, 47.29979320984183], ""type"": ""Point""}"
2091;2553;Bibliothèque;Bibliothèque Mauves sur Loire;Culture;Médiathèque;Bibliothèque;15 Rue du Cellier;Mauves-sur-Loire;44470;02 40 25 05 63;https://bibliotheque.mauvessurloire.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2553;"{""coordinates"": [-1.392587664950777, 47.297077268449705], ""type"": ""Point""}"
2295;4871;L'Embarcadère;L'Embarcadère;Culture;Salle de spectacle;;Rue Marie Curie;Saint-Sébastien-sur-Loire;44230;02 40 80 86 05;http://www.saintsebastien.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4871;"{""coordinates"": [-1.4876802366632296, 47.189746767841264], ""type"": ""Point""}"
2568;2629;Pont;Pont Métallique de Mauves sur Loire;Culture;Monument;;Pont de Mauves-sur-Loire;Mauves-sur-Loire;44470;;;Non;;;"{""coordinates"": [-1.3829881442044174, 47.294163261746654], ""type"": ""Point""}"
2672;2398;Ecluse;Ecluse sur l'Acheneau Bouaye;Culture;Monument;;VM 264;Bouaye;44830;02 40 65 53 55;;Non;;;"{""coordinates"": [-1.6983725471071225, 47.13251493522389], ""type"": ""Point""}"
2743;3505;Pigeonnier du Château;Pigeonnier du Château de Thouaré;Culture;Monument;;Rue de la Saulzaie;Thouaré-sur-Loire;44470;;https://www.thouare.fr/notre-presentation/;Non;;https://metropole.nantes.fr/infonantes/equipement/E3505;"{""coordinates"": [-1.443984075970739, 47.26114559497111], ""type"": ""Point""}"
2801;3122;Barakason;Barakason;Culture;Salle de spectacle;;Allée du Dauphiné;Rezé;44400;02 51 70 78 00;http://www.lasoufflerie.org/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3122;"{""coordinates"": [-1.5576057506506173, 47.186175900268395], ""type"": ""Point""}"
2846;2710;Médiath. Libre Cour;Libre Cour, la Médiathèque de Vertou;Culture;Médiathèque;Médiathèque;Rue Henri Charpentier;Vertou;44120;02 40 34 88 87;http://librecour.vertou.fr/;Oui;Ascenseur, cheminement contrasté au sol, livres en gros caractères, livres audios;https://metropole.nantes.fr/infonantes/equipement/E2710;"{""coordinates"": [-1.471610892747853, 47.16887308173116], ""type"": ""Point""}"
2969;2639;Château de Maubreuil;Château de Maubreuil;Culture;Musée, Château;Château;Chemin des Gruellières;Carquefou;44470;;;Non;;;"{""coordinates"": [-1.465217595674402, 47.2972725925797], ""type"": ""Point""}"
3295;1247;Le Lieu Unique;Le Lieu Unique Nantes;Culture;Salle de spectacle;;Quai Ferdinand Favre;Nantes;44000;02 40 12 14 34;http://www.lelieuunique.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E1247;"{""coordinates"": [-1.5456662080550758, 47.21526614915121], ""type"": ""Point""}"
3372;4305;Manoir des Renaudières;Manoir des Renaudières;Culture;Salle d'exposition;;Allée des Renaudières;Carquefou;44470;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4305;"{""coordinates"": [-1.5135245932003443, 47.30022350164505], ""type"": ""Point""}"
3522;3455;Ecluse de Buzay;Ecluse Barrage de Buzay;Culture;Monument;;Routes des Rouzerolles;Le Pellerin;44640;;;Non;;;"{""coordinates"": [-1.8270333155129603, 47.21025591902867], ""type"": ""Point""}"
3689;5804;Espace culturel Adine-Riom;Espace culturel Adine-Riom;Culture;Ecole Culturelle;;Allée George Sand;Le Pellerin;44640;;;Non;;;"{""coordinates"": [-1.7551320663295162, 47.19883260622047], ""type"": ""Point""}"
295;1458;Bibliothèque Joffre;Bibliothèque pour Tous Joffre;Culture;Médiathèque;Bibliothèque;32 Rue Maréchal Joffre;Nantes;44000;;;Non;;;"{""coordinates"": [-1.547457669675384, 47.221832797170016], ""type"": ""Point""}"
359;122;Musée J. Verne;Musée Jules Verne;Culture;Musée, Château;Musée;3 Rue de l'Hermitage;Nantes;44100;02 40 69 72 52;https://julesverne.nantesmetropole.fr/home.html;Oui;Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E122;"{""coordinates"": [-1.5773726976982567, 47.2016013517438], ""type"": ""Point""}"
468;128;Muséum d'Hist. Nat.;Muséum d'Histoire Naturelle;Culture;Musée, Château;Musée;12 Rue Voltaire;Nantes;44000;02 40 41 55 00;https://museum.nantesmetropole.fr;Oui;Rampe d'accès et Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E128;"{""coordinates"": [-1.56483323342002, 47.21266270513517], ""type"": ""Point""}"
483;1457;Bibliothèque Viarme;Bibliothèque pour Tous Viarme;Culture;Médiathèque;Bibliothèque;16 Rue Sarrazin;Nantes;44000;;;Non;;;"{""coordinates"": [-1.5610374398550508, 47.22076218021832], ""type"": ""Point""}"
530;761;Cinéma Katorza;Cinéma Katorza;Culture;Cinéma;;3 Rue Corneille;Nantes;44000;02 51 84 90 60;https://nantes.katorza.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E761;"{""coordinates"": [-1.5626959331110404, 47.21363517525037], ""type"": ""Point""}"
537;149;Monument aux Fusillés;Monument aux Fusillés;Culture;Monument;;4 Rue Claude et Simone Millot;Nantes;44300;;;Non;;;"{""coordinates"": [-1.512467348809688, 47.260573364173204], ""type"": ""Point""}"
574;1952;Chateau La Gobinière;Château de La Gobinière;Culture;Musée, Château;Château;37 Avenue de la Ferrière;Orvault;44700;02 51 78 33 33;https://www.orvault.fr/culture-sport-tourisme/culture/expositions;Non;;https://metropole.nantes.fr/infonantes/equipement/E1952;"{""coordinates"": [-1.5845914345449383, 47.24936999410761], ""type"": ""Point""}"
604;1336;Bibliothèque E. Leroux;Bibliothèque Emilienne Leroux;Culture;Médiathèque;Bibliothèque;21 Rue Charles Roger;Nantes;44100;02 40 43 97 67;bibliotheque-emilienne-leroux-nantes.blogspot.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E1336;"{""coordinates"": [-1.597650517536002, 47.22306972257506], ""type"": ""Point""}"
630;11;Bibliothèque Breil Malville;Bibliothèque Breil Malville;Culture;Médiathèque;Bibliothèque;37B Rue des Plantes;Nantes;44100;02 40 76 06 56;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E11;"{""coordinates"": [-1.5861075683775543, 47.23303484540982], ""type"": ""Point""}"
698;2628;Moulin Gautron;Centre d'Expression et de Créativité du Moulin Gautron;Culture;Salle de spectacle;;9 Rue de l'Industrie;Vertou;44120;02 40 33 09 00;http;Non;;;"{""coordinates"": [-1.4822276503689396, 47.16646536132112], ""type"": ""Point""}"
3048;3895;Médiathèque;Médiathèque George Sand;Culture;Médiathèque;Médiathèque;Allée George Sand;Le Pellerin;44640;02 51 79 81 90;https://mediatheque.ville-lepellerin.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3895;"{""coordinates"": [-1.755232158473431, 47.19880601092379], ""type"": ""Point""}"
3221;124;Château Grand Blottereau;Château du Parc du Grand Blottereau;Culture;Monument;;Boulevard Auguste Péneau;Nantes;44300;02 40 49 39 98;;Non;;https://metropole.nantes.fr/infonantes/equipement/E124;"{""coordinates"": [-1.510670776864137, 47.226190434645375], ""type"": ""Point""}"
3246;4174;Notes En Stock;Ecole de Musique Notes En Stock;Culture;Ecole Culturelle;;Rue Hippolyte Derouet;Les Sorinières;44840;;http://musique.notesenstock.free.fr/;Non;;;"{""coordinates"": [-1.523304176639715, 47.147736209356836], ""type"": ""Point""}"
3249;2744;E. Bertreux;Médiathèque Edmond Bertreux;Culture;Médiathèque;Médiathèque;Rue du Quatorze Juillet;Saint-Jean-de-Boiseau;44640;02 40 32 97 31;http://www.mediatheque-saintjeandeboiseau.net;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2744;"{""coordinates"": [-1.7237129068693517, 47.194150409301805], ""type"": ""Point""}"
3318;4190;Chateau Le Plessis;Chateau Le Plessis;Culture;Monument;;Voie Non Dénommée 0240909;Brains;44830;;;Non;;;"{""coordinates"": [-1.720724370581957, 47.16240245217316], ""type"": ""Point""}"
3344;2090;Médiathèque Condorcet;Médiathèque Condorcet;Culture;Médiathèque;Médiathèque;Square Pablo Neruda;Bouguenais;44340;02 40 32 04 54;http://www.mediatheque-bouguenais.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E2090;"{""coordinates"": [-1.6222728944425422, 47.17040567394568], ""type"": ""Point""}"
1068;1427;M. de la Poésie;Maison de la Poésie Nantes;Culture;Salle de spectacle;;2 Rue des Carmes;Nantes;44000;02 40 69 22 32;;Non;;;"{""coordinates"": [-1.554937382712694, 47.215840779904426], ""type"": ""Point""}"
1132;4353;JAM;JAM Jeunes Artistes de Mazaire - scène de musiques amplifiées;Culture;Salle de spectacle;;58 Avenue de Beauregard;La Chapelle-sur-Erdre;44240;02 51 81 87 23;http://www.lejam.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4353;"{""coordinates"": [-1.5563990038258884, 47.296415889705955], ""type"": ""Point""}"
1603;3574;L'Odyssée;Salle l'Odyssée;Culture;Salle de spectacle;;1 Route de Basse Indre;Orvault;44700;02 51 78 37 50;http://www.odyssee.orvault.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E3574;"{""coordinates"": [-1.6226223499723411, 47.261310023789214], ""type"": ""Point""}"
1661;3579;Le Labo 188;Le Labo 188;Culture;Ecole Culturelle;;Rue des Carnavaliers;Nantes;44300;06 71 90 59 03;http://www.studiovbs.com/;Non;;;"{""coordinates"": [-1.5143956087503927, 47.23671795403276], ""type"": ""Point""}"
1665;1455;Bibliothèque Beaulieu;Bibliothèque pour Tous Beaulieu;Culture;Médiathèque;Bibliothèque;12 Rue Anatole de Monzie;Nantes;44200;02 40 35 50 63;;Non;;;"{""coordinates"": [-1.5417239315241076, 47.20344778618085], ""type"": ""Point""}"
1717;689;Bibliothèque Boissière;Bibliothèque Boissière;Culture;Médiathèque;Bibliothèque;9B Rue Jean De La Bruyère;Nantes;44300;02 40 76 96 85;;Non;;;"{""coordinates"": [-1.5674416768208006, 47.25442417843884], ""type"": ""Point""}"
1763;130;Musée d'arts;Musée d'arts de Nantes;Culture;Musée, Château;Musée;10 Rue Georges Clemenceau;Nantes;44000;02 51 17 45 00;https://museedartsdenantes.nantesmetropole.fr/home.html;Oui;Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E130;"{""coordinates"": [-1.547389249527023, 47.219591428369974], ""type"": ""Point""}"
1891;151;C. Chorégraphique J. Garnier;Centre Chorégraphique National de Nantes, J. Garnier;Culture;Salle de spectacle;;23 Rue Noire;Nantes;44000;02 40 93 30 97;http://www.ccnnantes.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E151;"{""coordinates"": [-1.5626826529532805, 47.22593933427184], ""type"": ""Point""}"
1923;942;Ludothèque Bout des Landes;Ludothèque Bout des Landes;Culture;Médiathèque;Ludothèque;12 Rue de Concarneau;Nantes;44300;02 51 83 61 71;https://www.accoord.fr//nc_centre/csc-bout-des-landes/;Non;;https://metropole.nantes.fr/infonantes/equipement/E942;"{""coordinates"": [-1.5781132067037933, 47.26608533076936], ""type"": ""Point""}"
2071;2599;Ligéria;Ligéria;Culture;Salle de spectacle;;80 Rue de la Loire;Sainte-Luce-sur-Loire;44980;02 40 68 16 36;http://www.sainte-luce-loire.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2599;"{""coordinates"": [-1.4837794961919422, 47.24316733668169], ""type"": ""Point""}"
2553;1912;Cinéma UGC Ciné Cité Atlantis;Cinéma UGC Ciné Cité Atlantis;Culture;Cinéma;;Place Jean Bart;Saint-Herblain;44800;08 92 70 00 00;http://www.ugc.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1912;"{""coordinates"": [-1.62745927681567, 47.22373558804817], ""type"": ""Point""}"
2654;4189;Chateau de la Sauvagerie;Chateau de la Sauvagerie;Culture;Monument;;Voie Non Dénommée 0240907;Brains;44830;;;Non;;;"{""coordinates"": [-1.716234655580225, 47.16499484627204], ""type"": ""Point""}"
2956;2393;Maison Radieuse;La Maison Radieuse Le Corbusier;Culture;Monument;;Boulevard Le Corbusier;Rezé;44400;02 40 84 43 60;http://www.maisonradieuse.org/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2393;"{""coordinates"": [-1.568308023017545, 47.18882485241529], ""type"": ""Point""}"
